Index,Plant_name,scientific_name,class ,order,description,advantages,disadvantages,,Url
21,Plectranthus Amboinicus (Mexican Mint),Plectranthus amboinicus,Magnoliopsida (Dicots),Lamiales,"Mexican Mint, also known as Indian Borage, is an aromatic herb used for treating coughs, colds, and digestive disorders. Its leaves are often used in teas and home remedies for respiratory and skin conditions.","The flowers of Mexican Mint attract pollinators such as bees and butterflies, which contribute to garden biodiversity.","Due to its distinct taste, it may not complement all dishes, limiting its culinary versatility in some contexts.",,https://in.images.search.yahoo.com/images/view;_ylt=Awr1WTWpi6NnptUrKSq9HAx.;_ylu=c2VjA3NyBHNsawNpbWcEb2lkAzEwMTE5NzY2ZjU4MTYzNWRiZGRjN2QxMDczYjY2ZDIzBGdwb3MDMTEEaXQDYmluZw--?back=https%3A%2F%2Fin.images.search.yahoo.com%2Fsearch%2Fimages%3Fp%3DPlectranthus%2BAmboinicus%2B%2528Mexican%2BMint%2529%26ei%3DUTF-8%26type%3DE210IN1589G0%26fr%3Dmcafee%26fr2%3Dp%253As%252Cv%253Ai%252Cm%253Asb-top%26tab%3Dorganic%26ri%3D11&w=726&h=726&imgurl=www.candy.com.sg%2F10675-medium_default%2Fmexican-mint-plectranthus-amboinicus.jpg&rurl=https%3A%2F%2Fwww.candy.com.sg%2Fherbs%2F2206-4198-mexican-mint-plectranthus-amboinicus.html&size=90KB&p=Plectranthus+Amboinicus+%28Mexican+Mint%29&oid=10119766f581635dbddc7d1073b66d23&fr2=p%3As%2Cv%3Ai%2Cm%3Asb-top&fr=mcafee&tt=Mexican+Mint+%28Plectranthus+amboinicus%29&b=0&ni=160&no=11&ts=&tab=organic&sigr=1c3YqNn2xOHK&sigb=2lXK1QDLls2Z&sigi=MC0Twr.rdV1l&sigt=aRoGNEmU9qZx&.crumb=OZmGiL3vF57&fr=mcafee&fr2=p%3As%2Cv%3Ai%2Cm%3Asb-top&type=E210IN1589G0
22,Pongamia Pinnata (Indian Beech),Pongamia pinnata,Magnoliopsida (Dicots),Fabales,"Indian Beech is a fast-growing tree with medicinal, agricultural, and biofuel applications. Its seeds are used to produce biodiesel, while the leaves and bark have anti-inflammatory and antimicrobial properties.",The oil extracted from the seeds is sometimes used as a remedy for constipation and digestive issues.,"It thrives best in hot, humid environments, and its growth may be stunted in cooler climates or areas with harsh winters.",,https://in.images.search.yahoo.com/images/view;_ylt=Awr1WTXbi6NniikuFgq9HAx.;_ylu=c2VjA3NyBHNsawNpbWcEb2lkAzUwODA4MDJjYWFjNDQ4YmZkZjI1MDMxMDAyNjljY2Q4BGdwb3MDMgRpdANiaW5n?back=https%3A%2F%2Fin.images.search.yahoo.com%2Fsearch%2Fimages%3Fp%3DPongamia%2BPinnata%2B%2528Indian%2BBeech%2529%26ei%3DUTF-8%26type%3DE210IN1589G0%26fr%3Dmcafee%26fr2%3Dp%253As%252Cv%253Ai%252Cm%253Asb-top%26tab%3Dorganic%26ri%3D2&w=1024&h=768&imgurl=c1.staticflickr.com%2F3%2F2407%2F2085125015_af48773134_b.jpg&rurl=https%3A%2F%2Fwww.flickr.com%2Fphotos%2Fguzhengman%2F2085125015%2F&size=192KB&p=Pongamia+Pinnata+%28Indian+Beech%29&oid=5080802caac448bfdf2503100269ccd8&fr2=p%3As%2Cv%3Ai%2Cm%3Asb-top&fr=mcafee&tt=Pongamia+pinnata+%28Indian+Beech+Tree%2C+Pongam+Tree%29+%7C+Common+n%E2%80%A6+%7C+Flickr&b=0&ni=160&no=2&ts=&tab=organic&sigr=R_.jhcqtbBrL&sigb=9z0FC8m.IbuP&sigi=jF1BA3DJDH_h&sigt=RsyEgYd6oX5C&.crumb=OZmGiL3vF57&fr=mcafee&fr2=p%3As%2Cv%3Ai%2Cm%3Asb-top&type=E210IN1589G0
23,Psidium Guajava (Guava),Psidium guajava,Magnoliopsida (Dicots),Myrtales,"Guava is a tropical fruit rich in vitamin C and dietary fiber. The leaves are used in traditional medicine for treating diarrhea, diabetes, and infections. The fruit is consumed fresh or processed into jams, juices, and desserts.","Guava is rich in dietary fiber, which supports healthy digestion, prevents constipation, and may help lower cholesterol levels.","Guava is also prone to bacterial infections like bacterial blight, which can harm the tree and reduce fruit production.",,https://media.post.rvohealth.io/wp-content/uploads/2020/09/benefits-of-guavas-732x549-thumbnail-732x549.jpg
24,Punica Granatum (Pomegranate),Punica granatum,Magnoliopsida (Dicots),Myrtales,Pomegranate is a fruit-bearing shrub or tree valued for its antioxidant-rich seeds. The juice and seeds are used to support heart health and improve skin health. The peel and bark are used in traditional medicine for digestive issues.,The high fiber content promotes healthy digestion and prevents constipation.,"Some people may experience allergic reactions, such as itching, swelling, or difficulty breathing, after consuming pomegranate.",,https://in.images.search.yahoo.com/images/view;_ylt=Awr1WTUijKNnmXgrxFm9HAx.;_ylu=c2VjA3NyBHNsawNpbWcEb2lkAzA0ODhmYjQ3ODMwZWYyZGY4N2U5YzI4YTIzMjFjMGFjBGdwb3MDOQRpdANiaW5n?back=https%3A%2F%2Fin.images.search.yahoo.com%2Fsearch%2Fimages%3Fp%3DPunica%2BGranatum%2B%2528Pomegranate%2529%26ei%3DUTF-8%26type%3DE210IN1589G0%26fr%3Dmcafee%26fr2%3Dp%253As%252Cv%253Ai%252Cm%253Asb-top%26tab%3Dorganic%26ri%3D9&w=1170&h=877&imgurl=static.wixstatic.com%2Fmedia%2F6c9b82_70cafacdcd1d4496a5738903ac8996fc%7Emv2.jpg%2Fv1%2Ffill%2Fw_1170%2Ch_877%2Cal_c%2Cq_85%2F6c9b82_70cafacdcd1d4496a5738903ac8996fc%7Emv2.jpg&rurl=https%3A%2F%2Fwww.thepalmtreecompany.com%2Fproduct-page%2Fpunica-granatum-pomegranate-tree&size=199KB&p=Punica+Granatum+%28Pomegranate%29&oid=0488fb47830ef2df87e9c28a2321c0ac&fr2=p%3As%2Cv%3Ai%2Cm%3Asb-top&fr=mcafee&tt=PUNICA+GRANATUM.+Pomegranate+Tree.+%7C+thepalmtreecompany&b=0&ni=160&no=9&ts=&tab=organic&sigr=dFIr6r57Yz8Y&sigb=lFrRz1NDH9RC&sigi=8Y79G9qx5Rz4&sigt=Rh0W_8Mc3DyU&.crumb=OZmGiL3vF57&fr=mcafee&fr2=p%3As%2Cv%3Ai%2Cm%3Asb-top&type=E210IN1589G0
25,Santalum Album (Sandalwood),Santalum album,Magnoliopsida (Dicots),Santalales,"Sandalwood is a highly valued tree known for its fragrant heartwood. The oil is used in perfumery, cosmetics, and aromatherapy. It also has antimicrobial and anti-inflammatory properties and is used in traditional medicine for skin disorders and stress relief.","Sandalwood oil is rich in antioxidants, which help reduce wrinkles, fine lines, and other signs of aging.","The high value of sandalwood has led to illegal harvesting, which threatens its population and biodiversity in its native habitats.",,https://in.images.search.yahoo.com/images/view;_ylt=AwrKGFVEjKNnx.w2A4W9HAx.;_ylu=c2VjA3NyBHNsawNpbWcEb2lkAzY4ZjUzZjhkOWUyMzk5NTNjYjA5ZDEyYWEzM2NhMTlhBGdwb3MDMTMEaXQDYmluZw--?back=https%3A%2F%2Fin.images.search.yahoo.com%2Fsearch%2Fimages%3Fp%3DSantalum%2BAlbum%2B%2528Sandalwood%2529%26ei%3DUTF-8%26type%3DE210IN1589G0%26fr%3Dmcafee%26fr2%3Dp%253As%252Cv%253Ai%252Cm%253Asb-top%26tab%3Dorganic%26ri%3D13&w=1040&h=900&imgurl=i2.wp.com%2Fwww.paganpath.co.uk%2Fwp-content%2Fuploads%2F2018%2F02%2Fsandalwood.jpg&rurl=http%3A%2F%2Fwww.paganpath.co.uk%2Fessential-oil-remedies%2Fessential-oil-and-absolute-profiles%2Fsandalwood-santalum-album%2F&size=157KB&p=Santalum+Album+%28Sandalwood%29&oid=68f53f8d9e239953cb09d12aa33ca19a&fr2=p%3As%2Cv%3Ai%2Cm%3Asb-top&fr=mcafee&tt=Sandalwood+%28Santalum+album%29+%7C+MOONCHILD%26%2339%3BS+BOOK+OF+SHADOWS&b=0&ni=160&no=13&ts=&tab=organic&sigr=OlSVO_4lfJLv&sigb=i_UusTKxF_52&sigi=U6yHe_F2B7Ny&sigt=HBGkU5GePK0i&.crumb=OZmGiL3vF57&fr=mcafee&fr2=p%3As%2Cv%3Ai%2Cm%3Asb-top&type=E210IN1589G0
26,Syzygium Cumini (Jamun),Syzygium cumini,Magnoliopsida (Dicots),Myrtales,"Jamun is a tropical tree producing small, purple fruits with a sweet-tart flavor. The fruit and seeds are used to manage diabetes, improve digestion, and boost immunity. The tree also has environmental significance for soil conservation.",Jamun’s vitamins and minerals support healthy hair growth and prevent hair fall.,"Some individuals may experience allergic reactions to jamun, particularly in the form of itching, rashes, or swelling.",,https://in.images.search.yahoo.com/images/view;_ylt=Awr1WTVsjKNnPFUwag29HAx.;_ylu=c2VjA3NyBHNsawNpbWcEb2lkAzRkMzIzMzE5MTZlNWYxNTNjZDU0YjI5YjdiZDAyYmQ4BGdwb3MDNARpdANiaW5n?back=https%3A%2F%2Fin.images.search.yahoo.com%2Fsearch%2Fimages%3Fp%3DSyzygium%2BCumini%2B%2528Jamun%2529%26ei%3DUTF-8%26type%3DE210IN1589G0%26fr%3Dmcafee%26fr2%3Dp%253As%252Cv%253Ai%252Cm%253Asb-top%26tab%3Dorganic%26ri%3D4&w=487&h=500&imgurl=images-na.ssl-images-amazon.com%2Fimages%2FI%2F51bDkLPdLXL.jpg&rurl=https%3A%2F%2Fwww.amazon.in%2FModern-Plants-Syzygium-cumini-Malabar%2Fdp%2FB07Z9DH73L&size=48KB&p=Syzygium+Cumini+%28Jamun%29&oid=4d32331916e5f153cd54b29b7bd02bd8&fr2=p%3As%2Cv%3Ai%2Cm%3Asb-top&fr=mcafee&tt=Modern+Plants+Live%26quot%3BBhado+Jamun%26quot%3B+Syzygium+cumini%2FMalabar+plum%2FJava+plum+...&b=0&ni=160&no=4&ts=&tab=organic&sigr=ZnEOUeRd.xcS&sigb=1mCMNn.a7.Zf&sigi=sp8kj0oK3.HX&sigt=rvnYqBHVjLeQ&.crumb=OZmGiL3vF57&fr=mcafee&fr2=p%3As%2Cv%3Ai%2Cm%3Asb-top&type=E210IN1589G0
27,Syzygium Jambos (Rose Apple),Syzygium jambos,Magnoliopsida (Dicots),Myrtales,"Rose Apple is a tropical fruit tree producing fragrant, bell-shaped fruits. The fruits are consumed fresh or used in desserts. The plant is used in traditional medicine for treating liver problems and infections.","They are low in calories, making them a great snack for those looking to maintain a healthy weight.","Rose apples have a short shelf life and are prone to spoilage if not consumed fresh, making them less convenient for long-term storage or transport.",,https://in.images.search.yahoo.com/images/view;_ylt=Awr1WTWDjKNnIUQwvhm9HAx.;_ylu=c2VjA3NyBHNsawNpbWcEb2lkAzNjNTI0OGM2MTk2NWIxZWM2NjM3MTljODBlNDg5ZTgxBGdwb3MDMTIEaXQDYmluZw--?back=https%3A%2F%2Fin.images.search.yahoo.com%2Fsearch%2Fimages%3Fp%3DSyzygium%2BJambos%2B%2528Rose%2BApple%2529%26ei%3DUTF-8%26type%3DE210IN1589G0%26fr%3Dmcafee%26fr2%3Dp%253As%252Cv%253Ai%252Cm%253Asb-top%26tab%3Dorganic%26ri%3D12&w=968&h=862&imgurl=nqtrees.com.au%2Fwp-content%2Fuploads%2F2022%2F12%2FSyzygium-jambos-7.jpg&rurl=https%3A%2F%2Fnqtrees.com.au%2Fproduct%2Fsyzygium-jambos-malabar-plum-rose-apple-tube-stock%2F&size=91KB&p=Syzygium+Jambos+%28Rose+Apple%29&oid=3c5248c61965b1ec663719c80e489e81&fr2=p%3As%2Cv%3Ai%2Cm%3Asb-top&fr=mcafee&tt=Syzygium+jambos+%28+Malabar+plum+%2F+Rose+apple+%29+-+Tube+Stock+-+Tree+...&b=0&ni=160&no=12&ts=&tab=organic&sigr=n4bPT_EnxthF&sigb=bh5w4iwL5JHC&sigi=feibtqdReCht&sigt=AbSuRvDpfBxn&.crumb=OZmGiL3vF57&fr=mcafee&fr2=p%3As%2Cv%3Ai%2Cm%3Asb-top&type=E210IN1589G0
28,Tabernaemontana Divaricata (Crape Jasmine),Tabernaemontana divaricata,Magnoliopsida (Dicots),Gentianales,"Crape Jasmine is an ornamental shrub with white, star-shaped flowers. It is used in traditional medicine for its sedative and anti-inflammatory properties. The plant also has cultural significance in South Asia.","The plant is evergreen, providing lush, green foliage year-round, adding beauty to outdoor spaces even in the winter.","The plant can grow vigorously, requiring regular pruning to keep it from becoming unruly or taking over garden spaces.",,https://in.images.search.yahoo.com/images/view;_ylt=Awr1WTWujKNnOHctCn69HAx.;_ylu=c2VjA3NyBHNsawNpbWcEb2lkAzA2NzU5NTM5ZjlhYTY1NTczMmM4OGQwMWZjMDk1ZjBkBGdwb3MDNARpdANiaW5n?back=https%3A%2F%2Fin.images.search.yahoo.com%2Fsearch%2Fimages%3Fp%3DTabernaemontana%2BDivaricata%2B%2528Crape%2BJasmine%2529%26ei%3DUTF-8%26type%3DE210IN1589G0%26fr%3Dmcafee%26fr2%3Dp%253As%252Cv%253Ai%252Cm%253Asb-top%26tab%3Dorganic%26ri%3D4&w=1200&h=630&imgurl=www.squareyards.com%2Fblog%2Fwp-content%2Fuploads%2F2021%2F11%2FCrepe-Jasmine.jpg&rurl=https%3A%2F%2Fwww.squareyards.com%2Fblog%2Ftabernaemontana-divaricata-crepe-jasmine-plant-indp&size=60KB&p=Tabernaemontana+Divaricata+%28Crape+Jasmine%29&oid=06759539f9aa655732c88d01fc095f0d&fr2=p%3As%2Cv%3Ai%2Cm%3Asb-top&fr=mcafee&tt=Tabernaemontana+Divaricata+%28Crepe+Jasmine+Plant%29%3A+Grow+%26+Care+Guide&b=0&ni=160&no=4&ts=&tab=organic&sigr=LD.zUtUSKQyL&sigb=59Dsc_ZrE5.8&sigi=Rj0owhBt3_t8&sigt=RsAouvt.kVdx&.crumb=OZmGiL3vF57&fr=mcafee&fr2=p%3As%2Cv%3Ai%2Cm%3Asb-top&type=E210IN1589G0
29,Trigonella Foenum-graecum (Fenugreek),Trigonella foenum-graecum,Magnoliopsida (Dicots),Fabales,"Fenugreek is an annual herb with leaves and seeds used as a spice and in traditional medicine. It is known to aid in digestion, control blood sugar levels, and improve lactation. The seeds are also rich in dietary fiber and protein.","Fenugreek is commonly used as a galactagogue, a substance that promotes milk production in breastfeeding mothers.",Direct contact with fenugreek seeds or leaves may cause skin irritation or rashes in some people.,,https://in.images.search.yahoo.com/images/view;_ylt=Awr1WTXGjKNnNRwu2ye9HAx.;_ylu=c2VjA3NyBHNsawNpbWcEb2lkA2IwMDBmZjY3YmI0MGFkZGNiMjNkODYyZjI4MmMyY2Y3BGdwb3MDMTAEaXQDYmluZw--?back=https%3A%2F%2Fin.images.search.yahoo.com%2Fsearch%2Fimages%3Fp%3DTrigonella%2BFoenum-graecum%25C2%25A0%2528Fenugreek%2529%26ei%3DUTF-8%26type%3DE210IN1589G0%26fr%3Dmcafee%26fr2%3Dp%253As%252Cv%253Ai%252Cm%253Asb-top%26tab%3Dorganic%26ri%3D10&w=2048&h=1270&imgurl=naturmedscientific.com%2Fwp-content%2Fuploads%2F2022%2F02%2FFenugreek-Extract-Trigonella-foenum-graecum-scaled.jpg&rurl=https%3A%2F%2Fnaturmedscientific.com%2Fproduct%2Ffenugreek-extract-trigonella-foenum-graecum%2F&size=155KB&p=Trigonella+Foenum-graecum%C2%A0%28Fenugreek%29&oid=b000ff67bb40addcb23d862f282c2cf7&fr2=p%3As%2Cv%3Ai%2Cm%3Asb-top&fr=mcafee&tt=Fenugreek+Extract+%7C+Trigonella+Foenum+Graecum+-+Naturmed+Scientific&b=0&ni=160&no=10&ts=&tab=organic&sigr=4.EOohkHuDhB&sigb=mOY.i6j27gsk&sigi=nHTy2TZmngv2&sigt=ycRqfyYQBVRc&.crumb=OZmGiL3vF57&fr=mcafee&fr2=p%3As%2Cv%3Ai%2Cm%3Asb-top&type=E210IN1589G0
,,,,,,,,,https://in.images.search.yahoo.com/images/view;_ylt=AwrKGFXijKNnPBwxCWe9HAx.;_ylu=c2VjA3NyBHNsawNpbWcEb2lkA2RmMTg4NDc2Y2JiZmYyMjg4YjNmNjRiMzUwZTA4YzQwBGdwb3MDOQRpdANiaW5n?back=https%3A%2F%2Fin.images.search.yahoo.com%2Fsearch%2Fimages%3Fp%3DCommon%2BRue%26ei%3DUTF-8%26type%3DE210IN1589G0%26fr%3Dmcafee%26fr2%3Dp%253As%252Cv%253Ai%252Cm%253Asb-top%26tab%3Dorganic%26ri%3D9&w=800&h=533&imgurl=media.sciencephoto.com%2Fimage%2Fc0249374%2F800wm%2FC0249374-Common_rue_Ruta_graveolens_flowers.jpg&rurl=https%3A%2F%2Fwww.sciencephoto.com%2Fmedia%2F663322%2Fview%2Fcommon-rue-ruta-graveolens-flowers&size=79KB&p=Common+Rue&oid=df188476cbbff2288b3f64b350e08c40&fr2=p%3As%2Cv%3Ai%2Cm%3Asb-top&fr=mcafee&tt=Common+rue+%28Ruta+graveolens%29+flowers+-+Stock+Image+-+C024%2F9374+...&b=0&ni=160&no=9&ts=&tab=organic&sigr=SbTybJ6XO6P6&sigb=YJ63zukePL7D&sigi=n5DEhLKmPGuN&sigt=OpPof.2w75aO&.crumb=OZmGiL3vF57&fr=mcafee&fr2=p%3As%2Cv%3Ai%2Cm%3Asb-top&type=E210IN1589G0
,,,,,,,,,https://in.images.search.yahoo.com/images/view;_ylt=Awr1WTUgjaNn9Z4vjni9HAx.;_ylu=c2VjA3NyBHNsawNpbWcEb2lkA2VlNDRiMmMwMzVhN2Q4ZjA5OGRjZGJkMzQwYjU0NWNjBGdwb3MDOARpdANiaW5n?back=https%3A%2F%2Fin.images.search.yahoo.com%2Fsearch%2Fimages%3Fp%3DCoffee%2BPLANT%26ei%3DUTF-8%26type%3DE210IN1589G0%26fr%3Dmcafee%26fr2%3Dp%253As%252Cv%253Ai%252Cm%253Asb-top%26tab%3Dorganic%26ri%3D8&w=1632&h=1224&imgurl=mycoffeeculture.files.wordpress.com%2F2011%2F08%2Fcoffee_cherries1.jpg&rurl=http%3A%2F%2Fblog.hmns.org%2Ftag%2Fgrowing-your-own-coffee-beans%2F&size=79KB&p=Coffee+PLANT&oid=ee44b2c035a7d8f098dcdbd340b545cc&fr2=p%3As%2Cv%3Ai%2Cm%3Asb-top&fr=mcafee&tt=Growing+Your+Own+Coffee+Beans+%7C+BEYONDbones&b=0&ni=160&no=8&ts=&tab=organic&sigr=kEVFfCTFfLi9&sigb=Slc2jfFQ02FF&sigi=W_uxy_Bw3Ggm&sigt=VgHpnC02GLn.&.crumb=OZmGiL3vF57&fr=mcafee&fr2=p%3As%2Cv%3Ai%2Cm%3Asb-top&type=E210IN1589G0
,,,,,,,,,https://in.images.search.yahoo.com/images/view;_ylt=Awr1WTU2jaNnOHctf4m9HAx.;_ylu=c2VjA3NyBHNsawNpbWcEb2lkA2ZjYmQ4Yjk4MTBhMjQ5YmYxNGMwYzc4MWJmZGYxMzMzBGdwb3MDMwRpdANiaW5n?back=https%3A%2F%2Fin.images.search.yahoo.com%2Fsearch%2Fimages%3Fp%3DCitron%2BLime%2B%2528Herelikai%2529%26ei%3DUTF-8%26type%3DE210IN1589G0%26fr%3Dmcafee%26fr2%3Dp%253As%252Cv%253Ai%252Cm%253Asb-top%26tab%3Dorganic%26ri%3D3&w=1280&h=720&imgurl=i.ytimg.com%2Fvi%2F9VYEeZhpSCU%2Fmaxresdefault.jpg&rurl=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3D9VYEeZhpSCU&size=127KB&p=Citron+Lime+%28Herelikai%29&oid=fcbd8b9810a249bf14c0c781bfdf1333&fr2=p%3As%2Cv%3Ai%2Cm%3Asb-top&fr=mcafee&tt=Citron+Lime+Heralekai+Nartanga+-+YouTube&b=0&ni=160&no=3&ts=&tab=organic&sigr=f5Zarz79n_2S&sigb=drzMB9K4kXJ5&sigi=ox07S9P0gTFS&sigt=RGdNvjaTGEfZ&.crumb=OZmGiL3vF57&fr=mcafee&fr2=p%3As%2Cv%3Ai%2Cm%3Asb-top&type=E210IN1589G0
,,,,,,,,,https://in.images.search.yahoo.com/images/view;_ylt=Awr1WTVSjaNnbm0wVBe9HAx.;_ylu=c2VjA3NyBHNsawNpbWcEb2lkAzlkZTExZTUzZjdkNGM1YWIyYmRmZGZkY2E4N2UxMWMyBGdwb3MDMgRpdANiaW5n?back=https%3A%2F%2Fin.images.search.yahoo.com%2Fsearch%2Fimages%3Fp%3DChilly%2BPLANT%26ei%3DUTF-8%26type%3DE210IN1589G0%26fr%3Dmcafee%26fr2%3Dp%253As%252Cv%253Ai%252Cm%253Asb-top%26tab%3Dorganic%26ri%3D2&w=1500&h=993&imgurl=tuigarden.co.nz%2Fmedia%2F3204%2Fchilli.png&rurl=https%3A%2F%2Ftuigarden.co.nz%2Fhow-to-guide%2Fchilli-growing-guide%2F&size=2113KB&p=Chilly+PLANT&oid=9de11e53f7d4c5ab2bdfdfdca87e11c2&fr2=p%3As%2Cv%3Ai%2Cm%3Asb-top&fr=mcafee&tt=Chilli+Growing+Guide+%7CTui%7C+Prepare%2C+Plant%2C+Nourish%2C+Harvest&b=0&ni=160&no=2&ts=&tab=organic&sigr=owByk.OH9Pjg&sigb=0LgctKJ_kNa8&sigi=xIKVqBBlj3rb&sigt=cmTsRE4JMFDe&.crumb=OZmGiL3vF57&fr=mcafee&fr2=p%3As%2Cv%3Ai%2Cm%3Asb-top&type=E210IN1589G0
,,,,,,,,,https://in.images.search.yahoo.com/images/view;_ylt=Awr1WTVqjaNn9zIwtTi9HAx.;_ylu=c2VjA3NyBHNsawNpbWcEb2lkAzY1ODM3ZDc1ODg3OGRkZjBkYjZkMmNhNjliMTBjYWViBGdwb3MDNARpdANiaW5n?back=https%3A%2F%2Fin.images.search.yahoo.com%2Fsearch%2Fimages%3Fp%3DChakte%2Bplant%26ei%3DUTF-8%26type%3DE210IN1589G0%26fr%3Dmcafee%26fr2%3Dp%253As%252Cv%253Ai%252Cm%253Asb-top%26tab%3Dorganic%26ri%3D4&w=1600&h=1200&imgurl=www.gardeningknowhow.com%2Fwp-content%2Fuploads%2F2021%2F07%2Fchayote-fruits.jpg&rurl=https%3A%2F%2Fwww.gardeningknowhow.com%2Fedible%2Fvegetables%2Fchayote%2Fgrowing-chayote-squash.htm&size=232KB&p=Chakte+plant&oid=65837d758878ddf0db6d2ca69b10caeb&fr2=p%3As%2Cv%3Ai%2Cm%3Asb-top&fr=mcafee&tt=What+Are+Chayotes+-+How+To+Grow+Chayote+Squash&b=0&ni=160&no=4&ts=&tab=organic&sigr=4R5iVjkspNDH&sigb=0kQeQHN4NFfG&sigi=IXQCv3XMBnD_&sigt=OUamGmwUAtEZ&.crumb=OZmGiL3vF57&fr=mcafee&fr2=p%3As%2Cv%3Ai%2Cm%3Asb-top&type=E210IN1589G0
,,,,,,,,,https://in.images.search.yahoo.com/images/view;_ylt=AwrKGFWBjaNn8iw334G9HAx.;_ylu=c2VjA3NyBHNsawNpbWcEb2lkA2I2NWYyYTVmODc2MjhiNjRhNjgzNWUyZTgyMDQxYzY1BGdwb3MDNQRpdANiaW5n?back=https%3A%2F%2Fin.images.search.yahoo.com%2Fsearch%2Fimages%3Fp%3DCatharanthus%2Bplant%26ei%3DUTF-8%26type%3DE210IN1589G0%26fr%3Dmcafee%26fr2%3Dp%253As%252Cv%253Ai%252Cm%253Asb-top%26tab%3Dorganic%26ri%3D5&w=1800&h=1200&imgurl=gfb.global.ssl.fastly.net%2Fwp-content%2Fuploads%2F2016%2F09%2F25-Exceptional-Benefits-of-Catharanthus-roseus.jpg&rurl=http%3A%2F%2Fglobalfoodbook.com%2F25-exceptional-benefits-catharanthus-roseus&size=1128KB&p=Catharanthus+plant&oid=b65f2a5f87628b64a6835e2e82041c65&fr2=p%3As%2Cv%3Ai%2Cm%3Asb-top&fr=mcafee&tt=25+EXCEPTIONAL+BENEFITS+OF+CATHARANTHUS+ROSEUS&b=0&ni=160&no=5&ts=&tab=organic&sigr=j8dJEgvWXxoB&sigb=SqMKC8EQ2auw&sigi=8Npku.hVM75T&sigt=blYs_b84aUIW&.crumb=OZmGiL3vF57&fr=mcafee&fr2=p%3As%2Cv%3Ai%2Cm%3Asb-top&type=E210IN1589G0
,,,,,,,,,https://in.images.search.yahoo.com/images/view;_ylt=Awr1WTWajaNnzN8v3Vq9HAx.;_ylu=c2VjA3NyBHNsawNpbWcEb2lkAzM4MzgyM2I0MjJiN2MxN2I2YjlhNTQ4OTA0Y2FlZTE4BGdwb3MDNQRpdANiaW5n?back=https%3A%2F%2Fin.images.search.yahoo.com%2Fsearch%2Fimages%3Fp%3DCastor%2Bplant%26ei%3DUTF-8%26type%3DE210IN1589G0%26fr%3Dmcafee%26fr2%3Dp%253As%252Cv%253Ai%252Cm%253Asb-top%26tab%3Dorganic%26ri%3D5&w=474&h=322&imgurl=cdn.britannica.com%2F84%2F118784-050-4DFE0C58%2FFruits-castor-oil-plant-castor-bean.jpg&rurl=https%3A%2F%2Fwww.britannica.com%2Fplant%2Fcastor-oil-plant&size=269KB&p=Castor+plant&oid=383823b422b7c17b6b9a548904caee18&fr2=p%3As%2Cv%3Ai%2Cm%3Asb-top&fr=mcafee&tt=Castor-oil+plant+%7C+Description%2C+Uses%2C+%26+Ricin+%7C+Britannica&b=0&ni=160&no=5&ts=&tab=organic&sigr=dLoQyNoNadhB&sigb=lvfvXfJ8GTbB&sigi=Wx5gk_.geukI&sigt=ivgbmwU24mOE&.crumb=OZmGiL3vF57&fr=mcafee&fr2=p%3As%2Cv%3Ai%2Cm%3Asb-top&type=E210IN1589G0
,,,,,,,,,https://in.images.search.yahoo.com/images/view;_ylt=Awr1WTWyjaNnBkgtL329HAx.;_ylu=c2VjA3NyBHNsawNpbWcEb2lkAzM3YzgyMjUzMGE2ZjM0OTQxMDZiNjQxODk2MjY1Y2M4BGdwb3MDMgRpdANiaW5n?back=https%3A%2F%2Fin.images.search.yahoo.com%2Fsearch%2Fimages%3Fp%3DBringaraja%2B%2528Eclipta%2529%2Bplant%26ei%3DUTF-8%26type%3DE210IN1589G0%26fr%3Dmcafee%26fr2%3Dp%253As%252Cv%253Ai%252Cm%253Asb-top%26tab%3Dorganic%26ri%3D2&w=1067&h=924&imgurl=m.media-amazon.com%2Fimages%2FI%2F61UX02VgEmL._SL1067_.jpg&rurl=https%3A%2F%2Fwww.amazon.in%2FGreenwise-Bhringraj-Eclipta-Bhangra-Medicinal%2Fdp%2FB09JPK219F&size=90KB&p=Bringaraja+%28Eclipta%29+plant&oid=37c822530a6f3494106b641896265cc8&fr2=p%3As%2Cv%3Ai%2Cm%3Asb-top&fr=mcafee&tt=Buy+Greenwise+Bhringraj+%28Yellow%29%7C+Eclipta+alba+%7C+Bhangra+%7C+False+daisy+...&b=0&ni=160&no=2&ts=&tab=organic&sigr=lHcnLisju550&sigb=QYER0qs_RpP9&sigi=1aBUIBptR06n&sigt=n8Hng8ncjJNV&.crumb=OZmGiL3vF57&fr=mcafee&fr2=p%3As%2Cv%3Ai%2Cm%3Asb-top&type=E210IN1589G0
